track_uri|track_name
spotify:track:0laYHRpNTS6i8FXdupHkJ4|Love You Like A Love Song
spotify:track:7HRHMuUTY7Dk4mw7CjS36i|Love On The Brain
spotify:track:2iUXsYOEPhVqEBwsqP70rE|Youngblood
spotify:track:6r2BECwMgEoRb5yLfp0Hca|Born This Way
spotify:track:7dZ1Odmx9jWIweQSatnRqo|Million Reasons
spotify:track:0azC730Exh71aQlOt9Zj3y|This Is What You Came For
spotify:track:0lHAMNU8RGiIObScrsRgmP|Titanium (feat. Sia)
spotify:track:4QNpBfC0zvjKqPJcyqBy9W|Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)
spotify:track:09IStsImFySgyp0pIQdqAc|The Middle
spotify:track:5qmq61DAAOUaW8AUo8xKhh|Truth Hurts
spotify:track:6qn9YLKt13AGvpq9jfO8py|We Found Love
spotify:track:2MvvoeRt8NcOXWESkxWn3g|Ribs
spotify:track:55n9yjI6qqXh5F2mYvUc2y|I Don’t Wanna Live Forever (Fifty Shades Darker)
spotify:track:3S4px9f4lceWdKf0gWciFu|Cheap Thrills
spotify:track:6YUTL4dYpB9xZO5qExPf05|Summer
spotify:track:7h70RTLbnhDyPGXjl3iEhh|Need You Now
spotify:track:1dGr1c8CrMLDpV6mPbImSI|Lover
spotify:track:7ef4DlsgrMEH11cDZd32M6|One Kiss (with Dua Lipa)
spotify:track:2dLLR6qlu5UJ5gk0dKz0h3|Royals
spotify:track:1ndyl3wJCFs872XZ3ztPk6|DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix
spotify:track:57vxBYXtHMk6H1aD29V7PU|Heartless
spotify:track:2ksOAxtIxY8yElEWw8RhgK|China
