track_uri|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|time_signature
5pzLbBdfmmEQ3uj639Dy7a|0.306|0.832|9|-6.2|0|0.0727|0.588|0.885|0.792|0.482|92.376|4
12k1HMJRvlInrBcY1ixbrI|0.376|0.931|6|-4.575|0|0.121|0.754|0.854|0.726|0.509|119.039|1
5DBiDazrHOYyn4bUUuWRd8|0.251|0.955|11|-3.777|0|0.186|0.13|0.884|0.671|0.519|87.893|4
4ZEFoYBJVQHoYtwKwOAlWc|0.481|0.86|11|-4.839|1|0.0454|0.732|0.843|0.973|0.56|116.098|4
29Yhzumvy4eP1SCWAZnGvC|0.424|0.528|2|-7.216|0|0.0313|0.961|0.88|0.0687|0.18|126.345|3
1yJPvMmYrkIug0lgRljAWG|0.573|0.542|11|-5.942|1|0.0282|0.849|0.776|0.12|0.496|112.48|3
3qkIamzHf4JiWEK3PcDNqx|0.395|0.502|10|-7.86|1|0.0293|0.957|0.872|0.194|0.21|105.728|4
12dSLgBenvKQmOKuAen8xZ|0.394|0.735|5|-5.216|1|0.0312|0.873|0.844|0.0708|0.477|139.628|4
5eE5Bw2su36P4tGXYeXR7U|0.664|0.763|9|-5.934|1|0.0387|0.362|0.586|0.0862|0.659|110.041|4
1hSFcxrS6Dnd1elBdl1h9T|0.424|0.532|6|-8.997|0|0.0288|0.944|0.437|0.111|0.0632|134.387|4
5MfAZBlEMDv5GPZPwTDjch|0.582|0.725|8|-5.459|0|0.0312|0.858|0.874|0.134|0.485|116.991|4
5tQJvrLkRpcXCsNZNRgcwo|0.684|0.554|7|-8.214|1|0.0407|0.74|0.856|0.118|0.566|89.903|3
7bPqeBnEErpU0sQbQOt2DL|0.418|0.465|2|-8.752|1|0.0443|0.937|0.87|0.0974|0.248|97.886|4
6Bgmrq67cxMaeZfRbqgJVh|0.442|0.655|7|-6.975|1|0.0423|0.724|0.778|0.182|0.521|150.816|3
5PghRPy8zBGk3OLHvkX7BZ|0.581|0.652|9|-6.848|0|0.034|0.714|0.751|0.103|0.491|98.037|4
32sPaXoEqIHoE7WjgvFHWd|0.417|0.527|2|-7.448|0|0.0315|0.961|0.877|0.0688|0.179|125.313|3
4OvVBDWEEJMaCduTvQ6Kts|0.564|0.542|11|-6.086|1|0.0284|0.862|0.737|0.121|0.503|112.432|3
2MEIBDTGeHr6jkyDge5zjH|0.394|0.498|10|-8.056|1|0.0295|0.957|0.881|0.194|0.223|105.843|4
